11996,12139,12081,12318,12039,11999,12244,12430,12821,13180,12921,12617,13052,14015,14013,12522,12071,12222,12330,12363,12229,12640,12730,12441,13681,14341,13785,12612,12766,13732,13303,12844,12177,12328,12692,12468,12914,13335,13210,12541,15194,15918,14262,12542,12885,13962,13067,12612,11949,12390,12491,12343,13933,14041,13264,12402,16046,16096,14037,12657,13086,14335,13163,12379,1
12057,12037,12094,12028,12035,12009,11884,12050,12015,11910,11979,11990,12164,12144,12204,12054,12122,11978,12024,12061,11957,11890,11884,11987,11989,11984,12007,11990,12224,12110,12150,12184,12108,11934,11935,12080,11904,11966,12154,12017,12019,12016,12071,12027,12128,11929,12017,12010,11919,12013,12059,12098,11924,11908,12126,11987,11993,12088,11991,12029,11995,11900,12040,11905,0
12034,12128,12210,12182,12032,12091,12107,12117,12164,12138,12089,12195,12274,12829,13171,12782,12063,12113,12136,12044,12023,12074,11974,12035,12136,12261,12435,12344,12318,13179,13680,13291,12097,12130,12032,12172,12059,12036,12233,12172,12306,13127,13428,12697,13147,13667,13950,13668,12194,12192,12245,12266,12405,12788,13390,12922,12970,14096,14442,13419,12843,13727,14283,14029,1
11945,12125,12076,12014,12036,12002,12229,12087,12035,12083,12000,12089,12075,11969,11965,12016,11976,12116,11959,12053,12141,12191,12019,12123,11960,12171,12105,12037,12109,12153,11939,11987,12053,12125,12018,12037,12123,12147,11948,11958,12087,11987,11959,11849,12060,12063,11974,12059,12058,12321,12221,12098,12124,12094,12108,11949,12040,12075,12040,11908,12025,12075,11949,12062,0
11917,11905,11955,11859,12008,11982,11907,12001,11918,11826,11914,11910,11910,11828,12051,11945,12064,11992,11859,11812,12043,11956,11983,11937,11901,11942,11853,11952,11891,11852,11893,11950,11935,11943,11925,11671,11892,11889,11931,11877,11897,11926,11842,11909,11859,11890,11995,11973,11931,11893,11933,11926,11853,11828,11894,11892,11930,11931,11835,11936,11915,11926,11907,11909,1
12200,12162,12007,12047,12107,11915,11927,11961,11975,11977,12069,12058,12006,12057,11982,12016,12138,12251,12066,12066,11928,11880,12127,11897,11975,12064,11989,12027,11920,11979,12035,11989,12004,11939,12070,11952,11896,12094,11952,11937,12257,12056,11858,11889,11979,11878,11869,11830,12015,12071,11931,11935,11970,12059,12010,12032,11953,12035,11982,11946,11999,11891,11954,12036,0
11959,11919,11988,12007,11888,11910,11987,11933,12102,12070,12179,12037,12037,11935,12041,11979,11942,11899,11955,12069,11827,11940,12016,11985,12020,12101,12078,12060,12093,11919,12030,12120,11996,11932,12002,12062,11961,11945,11911,11943,12080,12080,11937,12039,12065,11970,12027,12010,11925,11836,11882,11899,12003,12004,11994,12016,12067,11981,12032,12031,12037,11945,12040,12136,1
12007,12072,12014,12020,12151,12035,12030,12014,11977,12208,12013,11969,12115,12120,11907,11984,12049,12010,12034,12098,12119,12213,12124,11973,12006,12007,12076,12029,12040,11963,11895,12037,12080,12098,12067,12042,12014,11974,12059,11876,12042,12081,11970,11983,12029,12049,11979,12051,11933,12016,12119,12013,12069,11986,12025,11950,12179,12033,12051,11987,12006,12001,11946,12025,0
11878,11839,11909,12174,11949,11990,11783,11981,12004,12008,11789,11886,12080,11969,11808,11943,11807,11800,11851,12117,11832,11843,11815,11967,11883,11836,11830,11919,11879,11846,11770,11903,11722,11827,11824,11966,11890,11764,11779,11850,11807,11849,11941,11921,11809,11860,11865,11806,11736,11770,11757,11764,11881,11859,11839,11818,11814,11749,11905,11884,11742,11801,11790,11778,1
12015,12047,11983,11992,11972,11905,11853,11942,11944,11964,11994,12042,11903,11887,11925,11944,11981,11974,12155,11904,12075,11930,11916,11998,11862,11895,12057,12041,11936,11837,11873,11917,11848,12093,12075,11963,11936,12044,12041,11920,11818,11898,11903,11914,11874,11813,11904,12026,11896,12167,12259,12206,11901,11910,11994,12105,11850,11934,11917,12038,11942,12132,11871,11847,0
